Unit Name,Capacity (Mwe),Constructor Experience (Reactor-Years),Construction Start Date,Commercial Operation Date,Realized Costs (Mixed Current Dollars),Realized Costs (Constant 1982 dollars),Location: south or southwest,Location: west,Utility construction manager,Single Unit,Cooling tower,Est Completion Date at 0%,Est Completion Date at 25%,Est Completion Date at 50%,Est Completion Date at 75%,Est Completion Date at 90%,Est Overnight Cost at 0%,Est Overnight Cost at 25%,Est Overnight Cost at 50%,Est Overnight Cost at 75%,Est Overnight Cost at 90%,Est Overnight cost at 0% ($/kW),Est Overnight cost at 25% ($/kW),Est Overnight cost at 50% ($/kW),Est Overnight cost at 75% ($/kW),Est Overnight cost at 90% ($/kW),Realized costs at 100% ($/kW),cesc025,cesc2550,cesc5075,cesc7590,cesc90100,sesc025,sesc2550,sesc5075,sesc7590,sesc90100,fcesc025,fcesc2550,fcesc5075,fcesc7590,fcesc90100,fsesc025,fsesc2550,fsesc5075,fsesc7590,fsesc90100,sescor025,sescor2550,sescor5075,sescor7590,sescor90100
Hope Creek 1,1067,341,03/01/1976,12/15/1986,3756000,3454272,0,0,0,1,0,12/15/1982,12/15/1986,12/15/1986,12/15/1986,12/15/1986,1195824,1561891,2239658,3569532,3454272,1120.7347703843,1463.8153701968,2099.0234301781,3345.3908153702,3237.3683223993,3237.3683223993,0.3061211349,0.4339400125,0.5937844082,-0.0322899473,0,0.5891129032,0,0,0,0,0.6280236025,0.001,0.0683719376,0.001,0.001,2.3320941239,1.0707569721,0.6553222453,0.3057974138,0.5104321521,0.5891129032,0,0,0,0
Indian Point 3,965,8,09/01/1967,08/30/1976,383000,645442,0,0,0,0,1,06/01/1971,05/01/1973,12/01/1973,10/01/1974,06/01/1975,358539,309159,487120,616325,709204,371.5430051813,320.3720207254,504.7875647668,638.6787564767,734.9264248705,668.8518134715,-0.1377256031,0.5756293687,0.2652426507,0.1506980895,-0.0899064303,0.5113221329,0.1034316095,0.1331581253,0.0939311944,0.161130742,0.5502328322,0.1044316095,0.2015300629,0.0949311944,0.162130742,2.2543033536,1.1741885816,0.7884803706,0.3997286082,0.6715628942,0.5113221329,0.1034316095,0.1331581253,0.0939311944,0.161130742
Joseph M. Farley 1,829,26,08/01/1970,12/01/1977,686386,1098921,1,0,0,1,0,04/01/1975,04/01/1975,12/01/1975,02/01/1976,06/01/1977,291068,475844,509924,892496,1096320,351.107358263,573.9975874548,615.107358263,1076.5934861279,1322.4607961399,1325.5983112183,0.6348207292,0.0716201108,0.7502529789,0.2283752532,0.0023724825,0,0.1431924883,0.0318275154,0.2417910448,0.0733173077,0.0389106992,0.1441924883,0.100199453,0.2427910448,0.0743173077,1.7429812207,1.2139494604,0.6871497607,0.5475884586,0.5837494598,0,0.1431924883,0.0318275154,0.2417910448,0.0733173077
Joseph M. Farley 2,829,54,10/01/1970,07/30/1981,780879,922643,1,0,0,0,0,04/01/1977,01/01/1977,04/01/1980,04/01/1980,09/01/1980,305044,519835,737962,854473,836780,367.9662243667,627.0627261761,890.1833534379,1030.7273823884,1009.384800965,1112.958986731,0.7041312073,0.4196081449,0.1578821132,-0.0207063301,0.1026112001,-0.0379106992,0.5192644483,0,0.044092219,0.0916367651,0.001,0.5202644483,0.0683719376,0.045092219,0.0926367651,1.7050705214,1.5900214204,0.6553222453,0.3498896328,0.6020689172,-0.0379106992,0.5192644483,0,0.044092219,0.0916367651
Kewaunee,535,7,12/01/1967,06/16/1974,201221,420274,0,0,0,1,1,06/01/1972,09/01/1972,09/01/1972,12/01/1972,06/01/1973,223427,252119,244376,337611,382693,417.6205607477,471.2504672897,456.7775700935,631.0485981308,715.3140186916,785.5588785047,0.128417783,-0.0307116877,0.3815227355,0.133532379,0.0982014304,0.0559610706,0,0.0524193548,0.0996168582,0.1891488303,0.0569610706,0.001,0.1207912925,0.1006168582,0.1901488303,1.7989422912,1.0707569721,0.7077416002,0.405414272,0.6995809824,0.0559610706,0,0.0524193548,0.0996168582,0.1891488303
LaSalle 1,1078,99,10/01/1973,01/15/1984,1342888,1441325,0,0,1,1,0,12/01/1978,12/01/1978,09/01/1979,09/01/1979,12/01/1980,536848,587409,628759,1032214,1198639,498.0037105751,544.9063079777,583.2643784787,957.5269016698,1111.9100185529,1337.0361781076,0.0941812208,0.0703938823,0.6416687475,0.1612311013,0.2024679658,0,0.1452040276,0,0.2114761684,0.435446906,0.001,0.1462040276,0.0683719376,0.2124761684,0.436446906,1.7429812207,1.2159609997,0.6553222453,0.5172735822,0.9458790582,0,0.1452040276,0,0.2114761684,0.435446906
LaSalle 2,1078,99,10/15/1973,06/15/1984,1028929,942595,0,0,1,0,0,05/15/1979,10/15/1979,09/15/1980,12/15/1981,10/15/1983,399488,436379,506928,800870,998725,370.5825602968,404.8042671614,470.2486085343,742.9220779221,926.461038961,874.392393321,0.0923457025,0.1616690996,0.5798496039,0.247050083,-0.0562016571,0.0750736016,0.1533546326,0.1804511278,0.2242708683,0.0668127054,0.0760736016,0.1543546326,0.2488230655,0.2252708683,0.0678127054,1.8180548222,1.2241116047,0.8357733731,0.530068282,0.5772448575,0.0750736016,0.1533546326,0.1804511278,0.2242708683,0.0668127054
Limerick 1,1055,335,07/15/1970,08/15/1985,3857000,2990034,0,0,0,1,0,03/15/1975,04/15/1983,04/15/1983,04/15/1985,04/15/1985,691836,943074,1294899,2194790,2309235,655.7687203791,893.9090047393,1227.3924170616,2080.3696682465,2188.8483412322,2834.155450237,0.3631467573,0.373061923,0.6949507259,0.0521439409,0.2948158156,1.7329812207,0,0.1569680052,0,0.0226429102,1.7339812207,0.001,0.2253399428,0.001,0.0236429102,3.4759624413,1.0707569721,0.8122902505,0.3057974138,0.5330750623,,0,0.1569680052,0,0.0226429102
McGuire 1,1180,56,01/01/1971,12/01/1981,919000,975602,1,0,1,1,0,11/01/1975,11/01/1976,01/01/1978,01/01/1979,07/01/1979,311191,332251,506102,629994,821025,263.7211864407,281.5686440678,428.9,533.893220339,695.7838983051,826.7813559322,0.067675479,0.5232519992,0.2447965035,0.3032266974,0.1882731951,0.2073654391,0.1999061473,0.1427454048,0.0619438741,0.2848855946,0.2083654391,0.2009061473,0.2111173424,0.0629438741,0.2858855946,1.5885565748,1.2706631195,0.7980676501,0.3677412879,0.7953177467,0.2073654391,0.1999061473,0.1427454048,0.0619438741,0.2848855946
McGuire 2,1180,65,12/15/1971,03/15/1984,1022000,953535,1,0,1,0,0,03/15/1977,09/15/1977,01/15/1979,04/15/1982,06/15/1983,354556,309692,467459,788034,922381,300.4711864407,262.4508474576,396.1516949153,667.8254237288,781.6788135593,808.0805084746,-0.1265357236,0.5094319517,0.6857820686,0.1704837609,0.0337756307,0.0959833073,0.2317943836,0.4582689335,0.1128775835,0.0652380952,0.0969833073,0.2327943836,0.5266408712,0.1138775835,0.0662380952,1.477174443,1.3025513557,1.1135911789,0.4186749973,0.5756702474,0.0959833073,0.2317943836,0.4582689335,0.1128775835,0.0652380952
